IATAcodeAirport,airport,city,state
CAK,Akron-Canton Regional Airport,Akron,OH
CDC,Cedar City Regional Airport,Cedar City,UT
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA
CHS,Charleston International Airport/Charleston AFB,Charleston,SC
CID,The Eastern Iowa Airport,Cedar Rapids,IA
CIU,Chippewa County International Airport,Sault Ste. Marie,MI
CLD,McClellan-Palomar Airport,San Diego,CA
CLE,Cleveland Hopkins International Airport,Cleveland,OH
CLL,Easterwood Airport,College Station,TX
CLT,Charlotte Douglas International Airport,Charlotte,NC
CMH,Port Columbus International Airport,Columbus,OH
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL
CMX,Houghton County Memorial Airport,Hancock,MI
CNY,Canyonlands Field,Moab,UT
COD,Yellowstone Regional Airport,Cody,WY
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO
COU,Columbia Regional Airport,Columbia,MO
CPR,Natrona County International Airport,Casper,WY
CRP,Corpus Christi International Airport,Corpus Christi,TX
CRW,Yeager Airport,Charleston,WV
CSG,Columbus Metropolitan Airport,Columbus,GA
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY
CWA,Central Wisconsin Airport,Mosinee,WI
DAB,Daytona Beach International Airport,Daytona Beach,FL
DAL,Dallas Love Field,Dallas,TX
DAY,James M. Cox Dayton International Airport,Dayton,OH
DBQ,Dubuque Regional Airport,Dubuque,IA
DCA,Ronald Reagan Washington National Airport,Arlington,VA
DEN,Denver International Airport,Denver,CO
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX
DHN,Dothan Regional Airport,Dothan,AL
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND
DLG,Dillingham Airport,Dillingham,AK
DLH,Duluth International Airport,Duluth,MN
DRO,Durango-La Plata County Airport,Durango,CO
DSM,Des Moines International Airport,Des Moines,IA
DTW,Detroit Metropolitan Airport,Detroit,MI
DVL,Devils Lake Regional Airport,Devils Lake,ND
EAU,Chippewa Valley Regional Airport,Eau Claire,WI
ECP,Northwest Florida Beaches International Airport,Panama City,FL
EGE,Eagle County Regional Airport,Eagle,CO
EKO,Elko Regional Airport,Elko,NV
ELM,Elmira/Corning Regional Airport,Elmira,NY
ELP,El Paso International Airport,El Paso,TX
ERI,Erie International Airport,Erie,PA
ESC,Delta County Airport,Escanaba,MI
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR
EVV,Evansville Regional Airport,Evansville,IN
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC
EWR,Newark Liberty International Airport,Newark,NJ
EYW,Key West International Airport,Key West,FL
FAI,Fairbanks International Airport,Fairbanks,AK
FAR,Hector International Airport,Fargo,ND
FAT,Fresno Yosemite International Airport,Fresno,CA
FAY,Fayetteville Regional Airport,Fayetteville,NC
FCA,Glacier Park International Airport,Kalispell,MT
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL
FNT,Bishop International Airport,Flint,MI
FSD,Sioux Falls Regional Airport,Sioux Falls,SD
FSM,Fort Smith Regional Airport,Fort Smith,AR
FWA,Fort Wayne International Airport,Fort Wayne,IN
GCC,Gillette-Campbell County Airport,Gillette,WY
GCK,Garden City Regional Airport,Garden City,KS
GEG,Spokane International Airport,Spokane,WA
GFK,Grand Forks International Airport,Grand Forks,ND
GGG,East Texas Regional Airport,Longview,TX
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO
GNV,Gainesville Regional Airport,Gainesville,FL
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI
GRI,Central Nebraska Regional Airport,Grand Island,NE
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX
GRR,Gerald R. Ford International Airport,Grand Rapids,MI
GSO,Piedmont Triad International Airport,Greensboro,NC
GSP,Greenville-Spartanburg International Airport,Greer,SC
GST,Gustavus Airport,Gustavus,AK
GTF,Great Falls International Airport,Great Falls,MT
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO
GUM,Guam International Airport,Agana,GU
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN
HLN,Helena Regional Airport,Helena,MT
HNL,Honolulu International Airport,Honolulu,HI
HOB,Lea County Regional Airport,Hobbs,NM
HOU,William P. Hobby Airport,Houston,TX
HPN,Westchester County Airport,White Plains,NY
HRL,Valley International Airport,Harlingen,TX
HSV,Huntsville International Airport,Huntsville,AL
HYA,Barnstable Municipal Airport,Hyannis,MA
HYS,Hays Regional Airport,Hays,KS
IAD,Washington Dulles International Airport,Chantilly,VA
IAG,Niagara Falls International Airport,Niagara Falls,NY
IAH,George Bush Intercontinental Airport,Houston,TX
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS
IDA,Idaho Falls Regional Airport,Idaho Falls,ID
ILG,Wilmington Airport,Wilmington,DE
ILM,Wilmington International Airport,Wilmington,NC
IMT,Ford Airport,Iron Mountain/Kingsford,MI
IND,Indianapolis International Airport,Indianapolis,IN
INL,Falls International Airport,International Falls,MN
ISN,Sloulin Field International Airport,Williston,ND
ISP,Long Island MacArthur Airport,Islip,NY
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY
ITO,Hilo International Airport,Hilo,HI
JAC,Jackson Hole Airport,Jackson,WY
JAN,Jackson-Evers International Airport,Jackson,MS
JAX,Jacksonville International Airport,Jacksonville,FL
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY
JLN,Joplin Regional Airport,Joplin,MO
JMS,Jamestown Regional Airport,Jamestown,ND
JNU,Juneau International Airport,Juneau,AK
KOA,Kona International Airport at Keahole,Kailua/Kona,HI
KTN,Ketchikan International Airport,Ketchikan,AK
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI
LAR,Laramie Regional Airport,Laramie,WY
LAS,McCarran International Airport,Las Vegas,NV
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK
LAX,Los Angeles International Airport,Los Angeles,CA
LBB,Lubbock Preston Smith International Airport,Lubbock,TX
LBE,Arnold Palmer Regional Airport,Latrobe,PA
LCH,Lake Charles Regional Airport,Lake Charles,LA
LEX,Blue Grass Airport,Lexington,KY
LFT,Lafayette Regional Airport,Lafayette,LA
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA
LIH,Lihue Airport,Lihue,HI
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE
LRD,Laredo International Airport,Laredo,TX
LSE,La Crosse Regional Airport,La Crosse,WI
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID
MAF,Midland International Airport,Midland,TX
MBS,MBS International Airport,Saginaw,MI
MCI,Kansas City International Airport,Kansas City,MO
MCO,Orlando International Airport,Orlando,FL
MDT,Harrisburg International Airport,Harrisburg,PA
MDW,Chicago Midway International Airport,Chicago,IL
MEI,Meridian Regional Airport,Meridian,MS
MEM,Memphis International Airport,Memphis,TN
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX
MFR,Rogue Valley International Airport,Medford,OR
MGM,Montgomery Regional Airport,Montgomery,AL
MHK,Manhattan Regional Airport,Manhattan,KS
MHT,Manchester-Boston Regional Airport,Manchester,NH
MIA,Miami International Airport,Miami,FL
MKE,General Mitchell International Airport,Milwaukee,WI
MKG,Muskegon County Airport,Muskegon,MI
MLB,Melbourne International Airport,Melbourne,FL
MLI,Quad City International Airport,Moline,IL
MLU,Monroe Regional Airport,Monroe,LA
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA
MOB,Mobile Regional Airport,Mobile,AL
MOT,Minot International Airport,Minot,ND
MQT,Sawyer International Airport,Marquette,MI
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA
MSN,Dane County Regional Airport,Madison,WI
MSO,Missoula International Airport,Missoula,MT
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA
MTJ,Montrose Regional Airport,Montrose,CO
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA
MYR,Myrtle Beach International Airport,Myrtle Beach,SC
OAJ,Albert J. Ellis Airport,Jacksonville,NC
OAK,Oakland International Airport,Oakland,CA
OGG,Kahului Airport,Kahului,HI
OKC,Will Rogers World Airport,Oklahoma City,OK
OMA,Eppley Airfield,Omaha,NE
OME,Nome Airport,Nome,AK
ONT,Ontario International Airport,Ontario,CA
ORD,Chicago O'Hare International Airport,Chicago,IL
ORF,Norfolk International Airport,Norfolk,VA
ORH,Worcester Regional Airport,Worcester,MA
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK
PAH,Barkley Regional Airport,Paducah,KY
PBG,Plattsburgh International Airport,Plattsburgh,NY
PBI,Palm Beach International Airport,West Palm Beach,FL
PDX,Portland International Airport,Portland,OR
PHF,Newport News/Williamsburg International Airport,Newport News,VA
PHL,Philadelphia International Airport,Philadelphia,PA
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS
PIH,Pocatello Regional Airport,Pocatello,ID
PIT,Pittsburgh International Airport,Pittsburgh,PA
PLN,Pellston Regional Airport of Emmet County,Pellston,MI
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS
PSC,Tri-Cities Airport,Pasco,WA
PSE,Mercedita Airport,Ponce,PR
PSG,Petersburg James A. Johnson Airport,Petersburg,AK
PSP,Palm Springs International Airport,Palm Springs,CA
PUB,Pueblo Memorial Airport,Pueblo,CO
PVD,Theodore Francis Green State Airport,Providence,RI
PWM,Portland International Jetport,Portland,ME
RAP,Rapid City Regional Airport,Rapid City,SD
RDD,Redding Municipal Airport,Redding,CA
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR
RDU,Raleigh-Durham International Airport,Raleigh,NC
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI
RIC,Richmond International Airport,Richmond,VA
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY
RNO,Reno/Tahoe International Airport,Reno,NV
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA
ROC,Greater Rochester International Airport,Rochester,NY
ROW,Roswell International Air Center,Roswell,NM
RST,Rochester International Airport,Rochester,MN
RSW,Southwest Florida International Airport,Ft. Myers,FL
SAF,Santa Fe Municipal Airport,Santa Fe,NM
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA
SAT,San Antonio International Airport,San Antonio,TX
SAV,Savannah/Hilton Head International Airport,Savannah,GA
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA
SBN,South Bend International Airport (South Bend Regional),South Bend,IN
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK
SCE,University Park Airport,State College,PA
SDF,Louisville International Airport (Standiford Field),Louisville,KY
SEA,Seattle-Tacoma International Airport,Seattle,WA
SFO,San Francisco International Airport,San Francisco,CA
SGF,Springfield-Branson National Airport,Springfield,MO
SGU,St. George Regional Airport,St George,UT
SHV,Shreveport Regional Airport,Shreveport,LA
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX
SJU,Luis Munoz Marin International Airport,San Juan,PR
SLC,Salt Lake City International Airport,Salt Lake City,UT
SMF,Sacramento International Airport,Sacramento,CA
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA
SPI,Abraham Lincoln Capital Airport,Springfield,IL
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL
STC,St. Cloud Regional Airport,St Cloud,MN
STL,St. Louis International Airport at Lambert Field,St Louis,MO
STT,Cyril E. King Airport,Charlotte Amalie,VI
STX,Henry E. Rohlsen Airport,Christiansted,VI
SUN,Friedman Memorial Airport,Hailey,ID
SUX,Sioux Gateway Airport,Sioux City,IA
SWF,Stewart International Airport,Newburgh,NY
SYR,Syracuse Hancock International Airport,Syracuse,NY
TLH,Tallahassee International Airport,Tallahassee,FL
TOL,Toledo Express Airport,Toledo,OH
TPA,Tampa International Airport,Tampa,FL
TRI,Tri-Cities Regional Airport,Bristol,TN
TTN,Trenton Mercer Airport,Trenton,NJ
TUL,Tulsa International Airport,Tulsa,OK
TUS,Tucson International Airport,Tucson,AZ
TVC,Cherry Capital Airport,Traverse City,MI
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR
TYR,Tyler Pounds Regional Airport,Tyler,TX
TYS,McGhee Tyson Airport,Knoxville,TN
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL
VEL,Valdez Airport,Vernal,UT
VLD,Valdosta Regional Airport,Valdosta,GA
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL
WRG,Wrangell Airport,Wrangell,AK
WYS,Westerly State Airport,West Yellowstone,MT
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR
YAK,Yakutat Airport,Yakutat,AK
YUM,Yuma International Airport,Yuma,AZ
